#{"t_start": 1744473381.8469014, "env_id": "None"}
r,l,t
-292.055501,100,2.89114
-360.94398,100,4.518098
-367.265036,100,6.117722
-374.419285,100,7.710763
-360.721192,100,9.271729
-356.689969,100,10.845758
-296.491682,100,12.417024
-345.024548,100,14.002192
-366.779013,100,15.571268
-317.272076,100,17.158918
-357.847947,100,18.753661
-346.827283,100,20.319607
-348.969037,100,21.88937
-345.543717,100,23.465895
-412.000466,100,25.038944
-342.491007,100,26.605923
-368.68162,100,28.159494
-323.535812,100,29.748896
-358.421351,100,31.400378
-334.812542,100,33.073887
-289.87411,100,35.755797
-393.286653,100,37.361675
-294.099375,100,39.00565
-352.643824,100,40.61481
-358.328759,100,42.220615
-338.729649,100,43.820357
-318.264657,100,45.422384
-349.470219,100,47.016597
-397.440486,100,48.627327
-311.941738,100,50.251721
57.668094,27,50.748689
-339.243621,100,52.362301
123.95761,20,52.738759
-295.393951,100,54.35015
-384.15303,100,55.966332
-364.105337,100,57.583396
-304.762917,100,59.226569
-358.966297,100,60.806094
-132.026242,73,61.999607
-334.959174,100,63.60361
-347.849498,100,65.222475
-428.544771,100,66.860775
-278.892368,100,69.534234
-176.285903,75,70.78315
-310.354191,100,72.422502
-312.569432,100,74.123015
-288.257853,100,75.796218
-359.775944,100,77.597693
-299.712192,100,79.399009
-354.357162,100,81.118157
-355.123886,100,82.856823
-70.819112,62,83.973019
-421.798581,100,85.776029
-283.361594,100,87.523542
-337.343119,100,89.289229
-299.882791,100,90.98369
-336.594379,100,92.769317
-333.396181,100,94.432889
-117.504704,72,95.643558
-301.593467,100,97.24801
-121.970661,71,98.451171
-354.881826,100,100.103124
84.162882,27,100.568941
-324.029395,100,102.247195
75.706404,32,102.805317
-346.186879,100,105.442367
-284.325222,100,107.068938
-344.642665,100,108.703865
-289.484675,100,110.374443
-361.233299,100,111.978625
-290.086925,100,113.622089
1.17363,49,114.43357
-336.732648,100,116.048734
-307.925781,100,117.655322
-338.882676,100,119.26491
-334.741313,100,120.905036
-317.806465,100,122.501143
-351.575057,100,124.103349
-362.192942,100,125.741537
-362.808522,100,127.370765
-315.012017,100,129.027829
36.005591,33,129.595401
-319.830238,100,131.268892
-360.068328,100,132.905361
-308.503532,100,134.520838
-365.858765,100,136.146402
-327.340152,100,137.787695
-299.799394,100,140.468544
-335.774279,100,142.071802
-356.546277,100,143.705817
-310.819315,100,145.319842
-277.852286,100,146.971993
173.875433,9,147.150213
-302.377675,100,148.783174
-290.716421,100,150.45031
-297.138389,100,152.138351
157.407772,10,152.348363
-308.781031,100,154.06618
-288.595128,100,155.737518
-354.151967,100,157.388674
-304.721663,100,159.067823
-297.735283,100,160.732696
-308.47122,100,162.366551
-281.444581,100,164.004959
-357.009917,100,165.646273
-296.609478,100,167.280199
-300.728712,100,168.903767
-361.893669,100,170.537409
-145.0299,85,171.916136
